DB_ID,SKU,Store,Date,Unit Sales,Dollar Sales
79504,50012011250,312,15/10/2014,3,29.97
79505,50012011250,312,16/10/2014,6,59.94
79506,50012011250,312,17/10/2014,4,39.96
79507,50012011250,312,18/10/2014,3,29.97
79508,50012011250,312,20/10/2014,4,39.96
79509,50012011250,312,21/10/2014,5,49.95
79510,50012011250,312,22/10/2014,1,9.99
79511,50012011250,312,23/10/2014,1,9.99
79512,50012011250,312,24/10/2014,6,59.94
79513,50012011250,312,25/10/2014,1,9.99
79514,50012011250,312,27/10/2014,3,29.97
79515,50012011250,312,28/10/2014,2,19.98
79516,50012011250,312,29/10/2014,4,39.96
79517,50012011250,312,30/10/2014,3,29.97
79518,50012011250,312,31/10/2014,-A45%0 2,
79519,50012011250,312,01/11/2014,3,29.97
79520,50012011250,312,03/11/2014,3,29.97
79521,50012011250,312,04/11/2014,1,9.99
79522,50012011250,312,05/11/2014,7,69.93
79523,50012011250,312,06/11/2014,3,29.97
79524,50012011250,312,07/11/2014,3,29.97
79525,50012011250,312,08/11/2014,2,19.98
79526,50012011250,312,10/11/2014,2,19.98
79527,50012011250,312,11/11/2014,4,39.96
79528,50012011250,312,12/11/2014,2,19.98
79529,50012011250,312,13/11/2014,,
79530,50012011250,312,14/11/2014,6,59.94
79531,50012011250,312,15/11/2014,3,29.97
79532,50012011250,312,17/11/2014,1,9.99
79533,50012011250,312,18/11/2014,50000,499500
79534,50012011250,312,19/11/2014,4,39.96
79535,50012011250,312,20/11/2014,1,9.99
79536,50012011250,312,21/11/2014,1,9.99
79537,50012011250,312,22/11/2014,2,19.98
79538,50012011250,312,24/11/2014,-2,-19.98
79539,50012011250,312,25/11/2014,5,49.95
79540,50012011250,312,26/11/2014,-3,-29.97
79541,50012011250,312,27/11/2014,2,19.98
79542,50012011250,312,28/11/2014,40000,399600
79543,50012011250,312,29/11/2014,1,9.99
79544,50012011250,312,01/12/2014,1,9.99
79545,50012011250,312,02/12/2014,9,89.91
79546,50012011250,312,03/12/2014,5,49.95
79547,50012011250,312,04/12/2014,4,39.96
79548,50012011250,312,05/12/2014,3,29.97
79549,50012011250,312,06/12/2014,3,29.97
79550,50012011250,312,08/12/2014,-A45%0 4,
79551,50012011250,312,09/12/2014,5,49.95
79552,50012011250,312,10/12/2014,4,39.96
79553,50012011250,312,11/12/2014,4,39.96
79554,50012011250,312,12/12/2014,3,29.97
79555,50012011250,312,13/12/2014,2,19.98
79556,50012011250,312,15/12/2014,7,69.93
79557,50012011250,312,16/12/2014,5,49.95
79558,50012011250,312,17/12/2014,5,49.95
79559,50012011250,312,18/12/2014,-A45%0 3,
79560,50012011250,312,19/12/2014,4,39.96
79561,50012011250,312,20/12/2014,4,39.96
79562,50012011250,312,22/12/2014,5,49.95
79563,50012011250,312,23/12/2014,,
79564,50012011250,312,24/12/2014,6,59.94
79565,50012011250,312,25/12/2014,2,19.98
79566,50012011250,312,26/12/2014,5,49.95
79567,50012011250,312,29/12/2014,5,49.95
79568,50012011250,312,30/12/2014,7,699.93
79569,50012011250,312,31/12/2014,2,19.98
79570,50012011250,312,01/01/2015,4,39.96
79571,50012011250,312,02/01/2015,4,39.96
79572,50012011250,312,03/01/2015,1,9.99
79573,50012011250,312,05/01/2015,1,9.99
79574,50012011250,312,06/01/2015,6,59.94
79575,50012011250,312,07/01/2015,1,9.99
79576,50012011250,312,08/01/2015,1,9.99
79577,50012011250,312,09/01/2015,7,69.93
79578,50012011250,312,10/01/2015,3,29.97
79579,50012011250,312,12/01/2015,3,29.97
79580,50012011250,312,13/01/2015,6,59.94
79581,50012011250,312,14/01/2015,3,29.97
79582,50012011250,312,15/01/2015,7,69.93
79583,50012011250,312,16/01/2015,2,19.98
79584,50012011250,312,17/01/2015,2,19.98
79585,50012011250,312,19/01/2015,3,29.97
79586,50012011250,312,20/01/2015,7,69.93
79587,50012011250,312,21/01/2015,3,29.97
79588,50012011250,312,22/01/2015,1,9.99
79589,50012011250,312,23/01/2015,1,9.99
79590,50012011250,312,24/01/2015,1,9.99
79591,50012011250,312,26/01/2015,4,39.96
79592,50012011250,312,27/01/2015,2,19.98
79593,50012011250,312,28/01/2015,2,19.98
79594,50012011250,312,29/01/2015,2,19.98
79595,50012011250,312,30/01/2015,2,19.98
79596,50012011250,312,31/01/2015,4,39.96
79597,50012011250,312,02/02/2015,3,29.97
79598,50012011250,312,03/02/2015,6,59.94
79599,50012011250,312,04/02/2015,3,29.97
79600,50012011250,312,05/02/2015,4,39.96
79601,50012011250,312,06/02/2015,5,49.95
79602,50012011250,312,07/02/2015,4,39.96
79603,50012011250,312,09/02/2015,5,49.95
79604,50012011250,312,10/02/2015,5,49.95
79605,50012011250,312,11/02/2015,2,19.98
79606,50012011250,312,12/02/2015,5,49.95
79607,50012011250,312,13/02/2015,5,49.95
79608,50*12011250,312,14/02/2015,1,9.99
79609,50*12011250,312,16/02/2015,4,39.96
79610,50*12011250,312,17/02/2015,3,29.97
79611,50012011250,312,18/02/2015,4,39.96
79612,50012011250,312,19/02/2015,3,29.97
79613,50012011250,312,20/02/2015,2,19.98
79614,50012011250,312,21/02/2015,1,9.99
79615,50012011250,312,23/02/2015,3,29.97
79616,50012011250,312,24/02/2015,4,39.96
79617,50012011250,312,25/02/2015,5,49.95
79618,50012011250,312,26/02/2015,10000,99900
79619,50012011250,312,27/02/2015,4,39.96
79620,50012011250,312,28/02/2015,3,29.97
79621,50012011250,312,03/03/2015,3,29.97
79622,50012011250,312,04/03/2015,2,19.98
79623,50012011250,312,05/03/2015,4,39.96
79624,50012011250,312,06/03/2015,6,59.94
79625,50012011250,312,07/03/2015,1,9.99
79626,50012011250,312,09/03/2015,2,19.98
79627,50012011250,312,10/03/2015,3,29.97
79628,50012011250,312,11/03/2015,6,59.94
79629,50012011250,312,12/03/2015,5,49.95
79630,50012011250,312,13/03/2015,5,49.95
79631,50012011250,312,14/03/2015,3,29.97
79632,50012011250,312,16/03/2015,5,49.95
79633,50012011250,312,17/03/2015,6,59.94
79634,50012011250,312,18/03/2015,3,29.97
79635,50012011250,312,19/03/2015,3,29.97
79636,50012011250,312,20/03/2015,2,19.98
79637,50012011250,312,21/03/2015,6,59.94
79638,50012011250,312,23/03/2015,6,59.94
79639,50012011250,312,24/03/2015,3,29.97
79640,50012011250,312,25/03/2015,4,39.96
79641,50012011250,312,26/03/2015,5,49.95
79642,50012011250,312,27/03/2015,3,29.97
79643,50012011250,312,28/03/2015,4,39.96
79644,50012011250,312,30/03/2015,4,39.96
79645,50012011250,312,31/03/2015,-4,-39.96
79646,50012011250,312,01/04/2015,2,19.98
79647,50012011250,312,02/04/2015,2,19.98
79648,50012011250,312,03/04/2015,1,9.99
79649,50012011250,312,04/04/2015,2,19.98
79650,50012011250,312,06/04/2015,1,9.99
79651,50012011250,312,07/04/2015,2,19.98
79652,50012011250,312,08/04/2015,2,19.98
79653,50012011250,312,09/04/2015,5,49.95
79654,50012011250,312,10/04/2015,20000,199800
79655,50012011250,312,11/04/2015,-A45%0 2,
79656,50012011250,312,13/04/2015,4,39.96
79657,50012011250,312,14/04/2015,4,39.96
79658,50012011250,312,15/04/2015,2,19.98
79659,50012011250,312,16/04/2015,2,19.98
79660,50012011250,312,17/04/2015,3,29.97
79661,50012011250,312,18/04/2015,6,59.94
79662,50012011250,312,20/04/2015,5,49.95
79663,50012011250,312,21/04/2015,5,49.95
79664,50012011250,312,22/04/2015,1,9.99
79665,50012011250,312,23/04/2015,4,39.96
79666,50012011250,312,24/04/2015,6,59.94
79667,50012011250,312,25/04/2015,1,9.99
79668,50012011250,312,27/04/2015,5,49.95
79669,50012011250,312,28/04/2015,3,29.97
79670,50012011250,312,29/04/2015,1,9.99
79671,50012011250,312,30/04/2015,3,29.97
79672,50012011250,312,01/05/2015,-A45%0 3,
79673,50012011250,312,02/05/2015,4,39.96
79674,50012011250,312,05/05/2015,5,49.95
79675,50012011250,312,06/05/2015,2,19.98
79676,50012011250,312,07/05/2015,3,29.97
79677,50012011250,312,08/05/2015,1,9.99
79678,50012011250,312,09/05/2015,3,29.97
79679,50012011250,312,11/05/2015,3,29.97
79680,50012011250,312,12/05/2015,3,29.97
79681,50012011250,312,13/05/2015,3,29.97
79682,50012011250,312,14/05/2015,3,29.97
79683,50012011250,312,15/05/2015,1,9.99
79684,50012011250,312,16/05/2015,7,69.93
79685,50012011250,312,18/05/2015,3,29.97
79686,50012011250,312,19/05/2015,1,9.99
79687,50012011250,312,20/05/2015,,
79688,50012011250,312,21/05/2015,1,9.99
79689,50012011250,312,22/05/2015,2,19.98
79690,50012011250,312,23/05/2015,3,29.97
79691,50012011250,312,25/05/2015,5,49.95
79692,50012011250,312,26/05/2015,4,39.96
79693,50012011250,312,27/05/2015,3,29.97
79694,50*12011250,312,28/05/2015,1,9.99
79695,50012011250,312,29/05/2015,3,29.97
79696,50012011250,312,30/05/2015,2,19.98
79697,50012011250,312,01/06/2015,2,19.98
79698,50012011250,312,02/06/2015,8,79.92
79699,50012011250,312,03/06/2015,7,69.93
79700,50012011250,312,04/06/2015,2,19.98
79701,50012011250,312,05/06/2015,7,69.93
79702,50012011250,312,06/06/2015,3,29.97
79703,50012011250,312,08/06/2015,6,59.94
79704,50012011250,312,09/06/2015,5,49.95
79705,50012011250,312,10/06/2015,-A45%0 2,
79706,50012011250,312,11/06/2015,-6,-59.94
79707,50012011250,312,12/06/2015,4,39.96
79708,50012011250,312,13/06/2015,6,59.94
79709,50012011250,312,15/06/2015,5,49.95
79710,50012011250,312,16/06/2015,6,59.94
79711,50012011250,312,17/06/2015,,
79712,50012011250,312,18/06/2015,3,29.97
79713,50012011250,312,19/06/2015,2,19.98
79714,50012011250,312,20/06/2015,1,9.99
79715,50012011250,312,22/06/2015,4,39.96
79716,50012011250,312,23/06/2015,4,39.96
79717,50012011250,312,24/06/2015,3,29.97
79718,50012011250,312,25/06/2015,6,59.94
79719,50012011250,312,26/06/2015,4,39.96
79720,50012011250,312,27/06/2015,30000,299700
79721,50012011250,312,29/06/2015,3,29.97
79722,50012011250,312,30/06/2015,5,49.95
79723,50012011250,312,01/07/2015,2,19.98
79724,50012011250,312,02/07/2015,3,29.97
79725,50012011250,312,03/07/2015,7,69.93
79726,50012011250,312,04/07/2015,8,79.92
79727,50012011250,312,06/07/2015,6,59.94
79728,50012011250,312,07/07/2015,2,19.98
79729,50012011250,312,08/07/2015,1,9.99
79730,50012011250,312,09/07/2015,1,9.99
79731,50012011250,312,10/07/2015,3,29.97
79732,50012011250,312,11/07/2015,3,29.97
79733,50012011250,312,13/07/2015,4,39.96
79734,50012011250,312,14/07/2015,2,19.98
79735,50012011250,312,15/07/2015,3,29.97
79736,50012011250,312,16/07/2015,2,19.98
79737,50012011250,312,17/07/2015,3,29.97
79738,50012011250,312,18/07/2015,3,29.97
79739,50012011250,312,20/07/2015,2,19.98
79740,50012011250,312,22/07/2015,3,29.97
79741,50012011250,312,23/07/2015,5,49.95
79742,50012011250,312,24/07/2015,5,49.95
79743,50012011250,312,25/07/2015,4,39.96
79744,50*12011250,312,27/07/2015,5,49.95
79745,50012011250,312,28/07/2015,1,9.99
79746,50012011250,312,30/07/2015,2,19.98
79747,50012011250,312,31/07/2015,-4,-39.96
79748,50012011250,312,01/08/2015,6,59.94
79749,50012011250,312,03/08/2015,,
79750,50012011250,312,04/08/2015,3,29.97
79751,50012011250,312,05/08/2015,3,29.97
79752,50012011250,312,06/08/2015,5,49.95
79753,50012011250,312,07/08/2015,6,59.94
79754,50012011250,312,08/08/2015,4,39.96
79755,50012011250,312,10/08/2015,4,39.96
79756,50012011250,312,11/08/2015,2,19.98
79757,50012011250,312,12/08/2015,7,69.93
79758,50012011250,312,13/08/2015,3,29.97
79759,50012011250,312,14/08/2015,2,19.98
79760,50012011250,312,15/08/2015,5,49.95
79761,50012011250,312,17/08/2015,3,29.97
79762,50012011250,312,18/08/2015,6,59.94
79763,50012011250,312,19/08/2015,1,9.99
79764,50012011250,312,20/08/2015,-A45%0 1,
79765,50012011250,312,21/08/2015,5,49.95
79766,50012011250,312,22/08/2015,3,29.97
79767,50012011250,312,24/08/2015,2,19.98
79768,50012011250,312,25/08/2015,4,39.96
79769,50012011250,312,26/08/2015,4,39.96
79770,50012011250,312,27/08/2015,5,49.95
79771,50012011250,312,29/08/2015,3,29.97
79772,50012011250,312,31/08/2015,9,89.91
79773,50012011250,312,01/09/2015,1,9.99
79774,50012011250,312,02/09/2015,4,39.96
79775,50012011250,312,03/09/2015,3,29.97
79776,50012011250,312,04/09/2015,4,39.96
79777,50012011250,312,05/09/2015,,
79778,50012011250,312,07/09/2015,3,29.97
79779,50012011250,312,08/09/2015,2,19.98
79780,50012011250,312,09/09/2015,1,9.99
79781,50012011250,312,10/09/2015,5,49.95
79782,50012011250,312,11/09/2015,,
79783,50012011250,312,12/09/2015,3,29.97
79784,50012011250,312,14/09/2015,6,59.94
79785,50012011250,312,15/09/2015,5,49.95
79786,50012011250,312,16/09/2015,4,39.96
79787,50012011250,312,17/09/2015,5,49.95
79788,50012011250,312,18/09/2015,6,59.94
79789,50012011250,312,19/09/2015,2,19.98
79790,50*12011250,312,21/09/2015,2,19.98
79791,50012011250,312,22/09/2015,2,19.98
79792,50012011250,312,23/09/2015,3,29.97
79793,50012011250,312,24/09/2015,2,19.98
79794,50012011250,312,25/09/2015,3,29.97
79795,50012011250,312,26/09/2015,1,9.99
79796,50012011250,312,28/09/2015,4,39.96
79797,50012011250,312,29/09/2015,2,19.98
79798,50012011250,312,30/09/2015,5,49.95
79799,50012011250,312,01/10/2015,-A45%0 4,
79800,50012011250,312,02/10/2015,4,39.96
79801,50012011250,312,03/10/2015,6,59.94
79802,50012011250,312,05/10/2015,-4,-39.96
79803,50012011250,312,06/10/2015,2,19.98
79804,50012011250,312,07/10/2015,1,9.99
79805,50012011250,312,08/10/2015,4,39.96
79806,50012011250,312,09/10/2015,30000,299700
79807,50012011250,312,10/10/2015,7,69.93
79808,50012011250,312,12/10/2015,3,29.97
79809,50012011250,312,13/10/2015,5,49.95
79810,50012011250,312,14/10/2015,8,79.92
79811,50012011250,312,15/10/2015,2,19.98
79812,50012011250,312,16/10/2015,2,19.98
79813,50012011250,312,17/10/2015,3,29.97
79814,50012011250,312,19/10/2015,2,19.98
79815,50012011250,312,20/10/2015,7,69.93
79816,50012011250,312,21/10/2015,3,29.97
79817,50012011250,312,22/10/2015,2,19.98
79818,50012011250,312,23/10/2015,2,19.98
79819,50012011250,312,24/10/2015,3,29.97
79820,50012011250,312,26/10/2015,9,89.91
79821,50012011250,312,27/10/2015,1,9.99
79822,50012011250,312,28/10/2015,4,39.96
79823,50012011250,312,29/10/2015,4,39.96
79824,50012011250,312,30/10/2015,7,69.93
79825,50012011250,312,31/10/2015,5,49.95
79826,50012011250,312,02/11/2015,4,39.96
79827,50012011250,312,03/11/2015,1,9.99
79828,50012011250,312,04/11/2015,3,29.97
79829,50012011250,312,05/11/2015,6,59.94
79830,50012011250,312,06/11/2015,3,29.97
79831,50012011250,312,07/11/2015,5,49.95
79832,50012011250,312,09/11/2015,5,49.95
79833,50012011250,312,10/11/2015,5,49.95
79834,50012011250,312,11/11/2015,2,19.98
79835,50012011250,312,12/11/2015,6,59.94
79836,50012011250,312,13/11/2015,3,29.97
79837,50012011250,312,14/11/2015,3,29.97
79838,50012011250,312,16/11/2015,1,9.99
79839,50012011250,312,17/11/2015,4,39.96
79840,50012011250,312,18/11/2015,6,59.94
79841,50012011250,312,19/11/2015,,
79842,50012011250,312,20/11/2015,6,59.94
79843,50012011250,312,21/11/2015,2,19.98
79844,50012011250,312,23/11/2015,3,29.97
79845,50012011250,312,24/11/2015,1,9.99
79846,50012011250,312,25/11/2015,1,9.99
79847,50012011250,312,26/11/2015,6,59.94
79848,50012011250,312,27/11/2015,2,19.98
79849,50012011250,312,28/11/2015,6,59.94
79850,50012011250,312,30/11/2015,7,69.93
79851,50012011250,312,01/12/2015,4,39.96
79852,50012011250,312,02/12/2015,2,19.98
79853,50012011250,312,03/12/2015,1,9.99
79854,50012011250,312,04/12/2015,6,59.94
79855,50012011250,312,05/12/2015,4,39.96
79856,50012011250,312,07/12/2015,2,19.98
79857,50012011250,312,08/12/2015,4,39.96
79858,50012011250,312,09/12/2015,3,29.97
79859,50012011250,312,10/12/2015,3,29.97
79860,50012011250,312,11/12/2015,3,29.97
79861,50012011250,312,12/12/2015,5,49.95
79862,50012011250,312,14/12/2015,1,9.99
79863,50012011250,312,15/12/2015,2,19.98
79864,50012011250,312,16/12/2015,-2,-19.98
79865,50012011250,312,17/12/2015,-5,-49.95
79866,50012011250,312,18/12/2015,2,19.98
79867,50012011250,312,19/12/2015,2,19.98
79868,50012011250,312,21/12/2015,2,19.98
79869,50012011250,312,22/12/2015,3,29.97
79870,50012011250,312,23/12/2015,6,59.94
79871,50012011250,312,24/12/2015,5,499.95
79872,50012011250,312,25/12/2015,5,49.95
79873,50012011250,312,26/12/2015,4,39.96
79874,50*12011250,312,28/12/2015,4,39.96
79875,50012011250,312,29/12/2015,3,29.97
79876,50012011250,312,30/12/2015,4,39.96
79877,50012011250,312,31/12/2015,3,29.97
79878,50012011250,312,01/01/2016,3,29.97
79879,50012011250,312,02/01/2016,7,69.93
79880,50012011250,312,04/01/2016,4,39.96
79881,50012011250,312,05/01/2016,5,49.95
79882,50012011250,312,06/01/2016,1,9.99
79883,50012011250,312,07/01/2016,6,59.94
79884,50012011250,312,08/01/2016,2,19.98
79885,50012011250,312,09/01/2016,4,39.96
79886,50012011250,312,11/01/2016,3,29.97
79887,50012011250,312,12/01/2016,6,59.94
79888,50012011250,312,13/01/2016,6,59.94
79889,50012011250,312,14/01/2016,5,49.95
79890,50012011250,312,15/01/2016,5,49.95
79891,50012011250,312,16/01/2016,3,29.97
79892,50012011250,312,18/01/2016,40000,399600
79893,50012011250,312,19/01/2016,3,29.97
79894,50012011250,312,20/01/2016,3,29.97
79895,50012011250,312,21/01/2016,3,29.97
79896,50012011250,312,22/01/2016,2,19.98
79897,50012011250,312,23/01/2016,4,39.96
79898,50012011250,312,25/01/2016,3,29.97
79899,50012011250,312,26/01/2016,3,29.97
79900,50012011250,312,27/01/2016,4,39.96
79901,50012011250,312,28/01/2016,3,29.97
79902,50012011250,312,29/01/2016,2,19.98
79903,50012011250,312,30/01/2016,2,19.98
79904,50012011250,312,01/02/2016,6,59.94
79905,50012011250,312,02/02/2016,4,39.96
79906,50012011250,312,03/02/2016,1,9.99
79907,50012011250,312,04/02/2016,3,29.97
79908,50012011250,312,05/02/2016,3,29.97
79909,50012011250,312,06/02/2016,1,9.99
79910,50012011250,312,08/02/2016,3,29.97
79911,50012011250,312,09/02/2016,1,9.99
79912,50012011250,312,10/02/2016,1,9.99
79913,50012011250,312,12/02/2016,4,39.96
79914,50012011250,312,13/02/2016,2,199.98
79915,50012011250,312,15/02/2016,5,49.95
79916,50012011250,312,16/02/2016,3,29.97
79917,50012011250,312,17/02/2016,5,49.95
79918,50012011250,312,18/02/2016,60000,599400
79919,50012011250,312,19/02/2016,4,39.96
79920,50012011250,312,20/02/2016,3,29.97
79921,50012011250,312,22/02/2016,,
79922,50012011250,312,23/02/2016,1,9.99
79923,50012011250,312,24/02/2016,3,29.97
79924,50012011250,312,25/02/2016,5,49.95
79925,50012011250,312,26/02/2016,10000,99900
79926,50012011250,312,27/02/2016,1,9.99
79927,50012011250,312,29/02/2016,2,19.98
79928,50012011250,312,01/03/2016,5,49.95
79929,50012011250,312,02/03/2016,1,9.99
79930,50012011250,312,03/03/2016,4,39.96
79931,50012011250,312,04/03/2016,2,19.98
79932,50012011250,312,05/03/2016,4,39.96
79933,50012011250,312,07/03/2016,5,49.95
79934,50012011250,312,08/03/2016,1,9.99
79935,50012011250,312,10/03/2016,3,299.97
79936,50012011250,312,11/03/2016,5,49.95
79937,50012011250,312,12/03/2016,3,29.97
79938,50012011250,312,14/03/2016,3,29.97
79939,50012011250,312,15/03/2016,0,0
79940,50012011250,312,17/03/2016,1,9.99
79941,50012011250,312,18/03/2016,2,19.98
79942,50012011250,312,19/03/2016,1,9.99
79943,50012011250,312,21/03/2016,2,19.98
79944,50012011250,312,22/03/2016,3,29.97
79945,50012011250,312,23/03/2016,2,19.98
79946,50012011250,312,24/03/2016,,
79947,50012011250,312,25/03/2016,3,29.97
79948,50012011250,312,26/03/2016,2,19.98
79949,50012011250,312,28/03/2016,3,29.97
79950,50012011250,312,30/03/2016,4,39.96
79951,50012011250,312,31/03/2016,4,39.96
79952,50012011250,312,01/04/2016,3,29.97
79953,50012011250,312,02/04/2016,3,29.97
79954,50012011250,312,04/04/2016,2,19.98
79955,50012011250,312,05/04/2016,1,9.99
79956,50012011250,312,06/04/2016,1,9.99
79957,50*12011250,312,07/04/2016,5,49.95
79958,50012011250,312,08/04/2016,3,29.97
79959,50012011250,312,09/04/2016,3,29.97
79960,50012011250,312,11/04/2016,1,9.99
79961,50012011250,312,12/04/2016,1,9.99
79962,50012011250,312,13/04/2016,8,79.92
79963,50012011250,312,14/04/2016,2,19.98
79964,50012011250,312,15/04/2016,3,29.97
79965,50012011250,312,16/04/2016,0,0
79966,50012011250,312,18/04/2016,8,79.92
79967,50012011250,312,19/04/2016,2,19.98
79968,50012011250,312,20/04/2016,4,39.96
79969,50012011250,312,21/04/2016,5,49.95
79970,50012011250,312,22/04/2016,2,19.98
79971,50012011250,312,23/04/2016,4,39.96
79972,50012011250,312,25/04/2016,4,39.96
79973,50012011250,312,26/04/2016,6,59.94
79974,50012011250,312,27/04/2016,4,39.96
79975,50012011250,312,28/04/2016,1,9.99
79976,50012011250,312,29/04/2016,4,39.96
79977,50012011250,312,30/04/2016,5,49.95
79978,50012011250,312,02/05/2016,6,59.94
79979,50012011250,312,03/05/2016,2,19.98
79980,50012011250,312,04/05/2016,4,39.96
79981,50012011250,312,05/05/2016,2,19.98
79982,50012011250,312,06/05/2016,3,29.97
79983,50012011250,312,07/05/2016,3,299.97
79984,50012011250,312,09/05/2016,2,19.98
79985,50012011250,312,10/05/2016,2,19.98
79986,50012011250,312,11/05/2016,5,49.95
79987,50012011250,312,12/05/2016,5,49.95
79988,50012011250,312,13/05/2016,3,29.97
79989,50012011250,312,14/05/2016,4,39.96
79990,50012011250,312,16/05/2016,3,29.97
79991,50012011250,312,17/05/2016,6,59.94
79992,50012011250,312,18/05/2016,2,19.98
79993,50012011250,312,19/05/2016,4,39.96
79994,50012011250,312,20/05/2016,7,69.93
79995,50012011250,312,21/05/2016,1,9.99
79996,50012011250,312,23/05/2016,3,29.97
79997,50012011250,312,24/05/2016,4,39.96
79998,50012011250,312,25/05/2016,5,49.95
79999,50012011250,312,26/05/2016,5,49.95
80000,50012011250,312,27/05/2016,5,49.95
80001,50012011250,312,28/05/2016,0,0
80002,50012011250,312,30/05/2016,2,19.98
80003,50012011250,312,31/05/2016,7,69.93
80004,50012011250,312,01/06/2016,4,39.96
80005,50012011250,312,02/06/2016,6,59.94
80006,50012011250,312,03/06/2016,4,39.96
80007,50012011250,312,04/06/2016,3,29.97
80008,50012011250,312,06/06/2016,3,29.97
80009,50012011250,312,07/06/2016,8,79.92
80010,50012011250,312,08/06/2016,1,9.99
80011,50012011250,312,09/06/2016,1,9.99
80012,50012011250,312,10/06/2016,3,29.97
80013,50012011250,312,11/06/2016,6,59.94
80014,50012011250,312,13/06/2016,3,29.97
80015,50012011250,312,14/06/2016,3,29.97
80016,50012011250,312,15/06/2016,6,59.94
80017,50012011250,312,16/06/2016,1,9.99
80018,50012011250,312,17/06/2016,4,39.96
80019,50012011250,312,18/06/2016,,
80020,50012011250,312,20/06/2016,1,9.99
80021,50012011250,312,21/06/2016,3,29.97
80022,50012011250,312,22/06/2016,4,39.96
80023,50012011250,312,23/06/2016,1,9.99
80024,50012011250,312,24/06/2016,,
80025,50012011250,312,25/06/2016,2,19.98
80026,50012011250,312,27/06/2016,3,29.97
80027,50012011250,312,28/06/2016,5,49.95
80028,50012011250,312,29/06/2016,5,49.95
80029,50012011250,312,30/06/2016,3,29.97
80030,50012011250,312,01/07/2016,1,9.99
80031,50012011250,312,02/07/2016,2,19.98
80032,50012011250,312,04/07/2016,4,39.96
80033,50012011250,312,05/07/2016,50000,499500
80034,50012011250,312,06/07/2016,3,29.97
80035,50012011250,312,07/07/2016,3,29.97
80036,50012011250,312,08/07/2016,2,19.98
80037,50012011250,312,09/07/2016,,
80038,50012011250,312,11/07/2016,6,59.94
80039,50012011250,312,12/07/2016,7,69.93
80040,50012011250,312,14/07/2016,,
80041,50012011250,312,15/07/2016,5,49.95
80042,50012011250,312,16/07/2016,5,49.95
80043,50012011250,312,18/07/2016,1,9.99
80044,50012011250,312,19/07/2016,3,29.97
80045,50012011250,312,20/07/2016,1,9.99
80046,50012011250,312,21/07/2016,5,49.95
80047,50012011250,312,22/07/2016,4,39.96
80048,50012011250,312,23/07/2016,3,29.97
80049,50012011250,312,25/07/2016,9,89.91
